sentence1,sentence2,similarity_score
The boy is stuck in the door of the doghouse.,A child is stuck in a dog house.,3.75
"GL, Terral That is absolutely amazing.",Hi Ollie: That is absolutely amazing.,2.400000095367432
A woman is writing a letter.,A woman is sitting at a desk.,1.6670000553131104
"They produce nothing I can eat, wear, live in.","Think about all the things you can't ""eat, wear, or live in"".",2.200000047683716
A woman and a man embrace while watching a horror movie.,A man and a woman watch a movie together.,2.799999952316284
YES filed suit yesterday in the Supreme Court of New York County in Manhattan.,The suit was filed in the Supreme Court of New York County.,3.0
"Boeing airliner crashes in Russia, 50 killed","Boeing airliner crashes in Russian city of Kazan, 50 killed",3.799999952316284
A brown dog is walking on the grass.,A dog chases another by a tree.,1.2000000476837158
There was girl stranded on the roof.,The couple was on the bed.,0.2000000029802322
Crowds Gather in Bethlehem for Christmas,"Oh, little town of Bethlehem — for real",2.0
"18 killed, 108 wounded in wave of bombings in Iraq","9 killed, 31 wounded in car bombs in Iraq's Kirkuk",1.399999976158142
The man is jumping into the water.,The man is up in the air.,2.400000095367432
A group of people living in the desert,A group of people in the middle of the desert.,4.0
A man steers a blue boat past brightly colored houses.,a man driving a blue boat passes by some colorful houses.,5.0
It will also give Microsoft an opportunity to comment on remedies proposed by the Commission.,"Among other things, Microsoft is to comment on proposed remedies in its response.",4.199999809265137
Two dogs are running in a grassy field,Two dogs running through a grassy field.,5.0
"4 killed, several injured in SW China car accident","Two killed, seventeen injured in Raiwind road accident",0.0
Implications of Palestinian reconciliation,Belgian king to address nation amid abdication speculation,0.6000000238418579
A dog is driving a car.,A guy is talking into a microphone.,0.0
The men played follow the leader on the grass.,The rhino grazed on the grass.,1.0
Two constructions workers sit on a beam taking a break.,The man is putting on his shirt near an elevator.,0.0
The parents want her kept alive; her husband says she never wanted to be kept alive artificially.,Michael Schiavo has argued that his wife never wanted to be kept alive artificially.,2.799999952316284
A dog standing in the water.,A girl playing on a parachute.,0.4000000059604645
a boy plays with a noodle by the pool.,A boy plays with a foam noodle toy by a pool.,4.599999904632568
The man is riding a horse.,A man is riding on a horse.,5.0
The man cut some carpet with a knife.,A man is cutting carpet with a knife.,4.75
Someone is mixing a liquid.,A man is playing a guitar.,0.0
Thai junta amasses security force to smother Bangkok protests,Thai junta security forces stay in barracks as protests dwindle,1.7999999523162842
A young child rides a horse.,The little girl rode a horse.,3.200000047683716
Turkey scrambles jets near border,Turkey scrambles jets to Syrian border,3.5999999046325684
A yellow and blue airplane is flying in the sky.,The white airplane is flying in the blue sky.,3.200000047683716
Tropical Storm Karen targets US Gulf Coast,Tropical Storm Karen weakens as it nears U.S. Gulf Coast,2.5999999046325684
The man played his guitar.,A man is playing a guitar.,3.75
"I have  years of ""Neener Neener"" rights I use lettuce too.","I have  years of ""Neener Neener"" rights Hi Wiggies!",2.5999999046325684
I was in a similar situation.,I am in a similar situation.,4.0
The cat is sitting between two bicycles in front of a door.,Than horse standing in a field in front of a fence.,0.0
Moore had no immediate comment Tuesday.,Moore did not have an immediate response Tuesday.,4.777999877929688
"Since you're being kind of vague here, I can only give you a vague answer.","In general, warming up your muscles only requires performing the movement with lower weights.",0.0
The man is kissing and hugging the woman.,A man is hugging and kissing a woman.,5.0
A man is finding something.,A woman is slicing something.,0.800000011920929
One NATO soldier killed in S. Afghanistan,British soldier killed in southern Afghanistan,3.200000047683716
A woman is brushing her feet.,A woman is chopping an onion.,0.4000000059604645
Suicide attack kills eight in Baghdad,Suicide attacks kill 24 people in Baghdad,2.400000095367432
"The Nasdaq composite index added 30.46 points, or 2 percent, to 1,520.15.","The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 after gaining 30.46 yesterday.",2.400000095367432
A cat is playing.,A woman is playing flute.,0.25
Thousands rally to support embattled Tunisia government,Thousands gather to support Islamist government in Tunisia,4.599999904632568
"Also, businesses throughout Utah are volunteering to display Amber alerts on their signs.",Other businesses are volunteering to put the alerts on their electronic signs and billboards.,3.75
Military: Syria chemical stocks threaten Israel,Russia tells Syria chemical arms threat is unacceptable,1.7999999523162842
"Myanmar's pro-democracy leader Aung San Suu Kyi will return home late Friday but will remain in detention after recovering from surgery at a Yangon hospital, her personal physician said.","Myanmar's pro-democracy leader Aung San Suu Kyi will be kept under house arrest following her release from a hospital where she underwent surgery, her personal physician said Friday.",4.599999904632568
"Afghan, US govts sign deal on controversial night raid","Afghans, US sign deal on night raids",3.799999952316284
the conventional forces in europe treaty is considered a key arms control treaty.,the conventional forces in europe treaty was a key soviet-era arms control treaty.,4.0
A man riding a white horse.,A woman with a white horse.,2.200000047683716
Bradley triumphs at Firestone as Furyk fades,Bahrain court upholds sentences against uprising leaders,0.0
Dozens killed in Russian plane crash,Ten killed in Alaska plane crash,1.399999976158142
"Tuition at four-year private colleges averaged $19,710 this year, up 6 percent from 2002.","For the current academic year, tuition at public colleges averaged $4,694, up almost $600 from the year before.",1.5
A man is opening a door.,A man is playing a guitar.,0.800000011920929
They are NOT as sovereign as they were before.,to repeat: They are NOT as sovereign as they were before.,4.400000095367432
Red panda‚Äôs short-lived zoo escape,India‚Äôs march to Mars,0.0
Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.,2.5999999046325684
Syria fighting rages as Russia urges Western re-think,"Syria fighting rages in capital, Russia pressed",2.5999999046325684
A black and white chair sitting in front of a brick wall and a window with a bamboo plant in a vase.,A black headed sheep covered in thick white wool stands in a pasture with other sheep.,0.6000000238418579
A woman is riding a horse.,A man is running on rope.,0.0
A couple is playing the game of Life.,The family is playing a game together.,2.5999999046325684
A man and a dog on rocks on a beach.,A man and dog on a rocky seashore.,4.599999904632568
"One question was whether France, which infuriated Washington by leading the charge against U.N. authorization for the war, would vote ""Yes"" or abstain.","France, which infuriated Washington by leading the charge against U.N. approval for the war, also sought changes.",3.0
Attacker in Afghan uniform kills 2 NATO troops,Man in Afghan army uniform kills NATO soldier,3.400000095367432
A passenger train coming into a station.,A passenger train sits in the station.,2.400000095367432
Thieves snatch English Channel swimmer's custom-made wheelchair,Thieves steal Channel swimmer's wheelchair,4.0
"Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday, as did Mills.","Mr. Mills declined to comment yesterday, saying that he never discussed personnel matters.",3.0
Her body was found several weeks later in the Green River.,"Aug. 15, 1982: Remains of Chapman, Hinds and Mills are found in the Green River.",2.5999999046325684
UN court convicts 6 Bosnian Croats of atrocities,UN War Crimes Court Convicts Six Bosnians Croats,4.0
A puppy is sliding backwards along the floor.,A puppy is pushing itself backwards.,3.799999952316284
A sheep standing on a table at auction.,Woolly sheep at auction house.,4.199999809265137
Janet Yellen to become first woman to lead the Federal Reserve,US Senate confirms Janet Yellen as US Federal Reserve chief,4.599999904632568
billion . Everyone in the world at Mexico's current prosperity level.,"Everyone in the world at the current ""prosperity"" level of Northwest Africa.",1.5333333015441897
China army newspaper hits out at US's PRISM programme,China army newspaper slams US's PRISM program,5.0
Britain shuts down plants as horse meat scandal reaches France,EU ministers 'determined' to resolve horsemeat scandal,3.0
A man uses a chainsaw to sculpt a phallic ice sculpture.,A man is using a chainsaw to carve a wooden sculpture.,2.5999999046325684
Beleaguered telecommunications gear maker Lucent Technologies is being investigated by two federal agencies for possible violations of U.S. bribery laws in its operations in Saudi Arabia.,Two federal agencies are investigating telecommunications gear maker Lucent Technologies for possible violations of U.S. bribery laws in its operations in Saudi Arabia.,4.800000190734863
"Tom Kasmer, a 14-year-old from Belmont, N.C., got a word that sounded like ""zistee"" during yesterday's competition.","The 14-year-old national spelling finalist who attends school in Belmont, N.C., got a word that sounded like ""zistee"" during competition Wednesday.",3.75
A man is riding a bicycle on a dirt path.,Two dogs running along dirt path.,1.600000023841858
Iran ups oil swap with eastern neighbors,Iran urges rapid release of diplomat,0.4000000059604645
A girl is styling her hair.,A girl is brushing her hair.,2.5
"The technology-laced Nasdaq Composite Index .IXIC rose 17.26 points, or 1.06 percent, to 1,640.06, based on the latest data.","The broader Standard & Poor's 500 Index <.SPX> gained 5.51 points, or 0.56 percent, to 981.73.",1.0
'Iran will attack Tel Aviv if Israel strikes',Senior cleric: Iran will attack Tel Aviv if Israel strikes,4.400000095367432
Suicide bomber kills 13 at restaurant in central Somalia,Suicide bomber kills at least 4 in Kabul,1.7999999523162842
Snowden sees 'no chance' for US fair trial,"Snowden sees ""no chance"" to get fair trial in U.S.",5.0
A black and white photo of an empty train station.,a black and white photo of a cat lying down.,1.600000023841858
There are a few things you can do:,There are a few minimally-effective things you can do at the personal level.,3.0
A person is standing underneath an overpass near a highway.,A person walks a dog along the water's edge.,0.2000000029802322
I recently stumbled on a great article that talks about protein consumption for the purposes of building muscle (recovery included).,Low reps with high weights don't add mass because the duration of the exercise is kept short.,1.0
"In addition, primary care trusts (PCTs) were given star ratings for the first time this year.",Primary Care Trusts and Mental Health Trusts have also been formally rated for the first time this year.,3.799999952316284
mexican president felipe calderon has sent 2800 special agents and soldiers to sinaloa due to the high degree of organized crime and drug trafficking.,mexican president felipe calderon has sent 2800 special agents and soldiers to sinaloa to fight drug trafficking.,4.599999904632568
A red and white plane flying on a sunny day.,Red and white plane flying through the air.,4.199999809265137
Two men are dancing.,Two women are shopping.,0.4000000059604645
I. ATLANTIC REQUIREMENTS .,PACIFIC REQUIREMENTS .,0.800000011920929
No problem if Mulayam forms Third Front: Congress,No problem if Mulayam forms third front: Digvijay,3.200000047683716
Two females jump off of swings.,Two girls jump out of swings.,4.599999904632568
Chapman was not immediately arrested and is expected to appear for arraignment July 3.,"Mr. Chapman, who hasn't been arrested, is expected to appear for arraignment next Thursday, prosecutors said.",3.799999952316284
the afghanistan-iran border region has been the scene of frequent clashes between police and drug smugglers.,the area near town of mirjaveh has been the scene of frequent conflicts between iranian police and drug smugglers.,3.799999952316284
Nelson Mandela dies aged 95,Nelson Mandela Dies at Age 95,5.0
South Africans Mourn as Mandela Buried,South Africa holds state funeral for Mandela,2.799999952316284
the spokesman said there will be an exchange of opinions on topical international and regional matters based on a joint working relationship at the heart of the u.n. kamynin said russia recognizes the participation of libya in the work of the u.n. security council.,kamynin said there will be an exchange of opinions on topical international and regional matters based on a joint working relationship at the heart of the un.,3.0
Butter is melting in a pan.,A man is melting butter in a pan.,3.5999999046325684
lol Looking forward to seeing your built-in's!,Look forward to seeing it!,1.7999999523162842
Tibetan monk dies after setting himself on fire in protest against Chinese rule,Teenage Tibetan monk dies after setting himself on fire in China,3.799999952316284
A man is patting an alligator on the mouth.,A person is dumping chopped vegetables into a pot on the stove.,0.0
India Ink: Image of the Day: January 27,India Ink: Image of the Day: March 20,1.0
Yemen suicide attack kills 7 soldiers: officials,Afghan suicide car bomb kills at least seven: officials,1.600000023841858
A women sitting in a chair at Christmas holding make up.,A train sitting on the tracks in a train yard.,0.0
The elephants sprayed water on themselves.,Elephants spray themselves with water.,3.5999999046325684
Japan's opposition party chief criticizes Abe's economic policies,Zimbabwe‚Äôs opposition MDC party challenges Robert Mugabe‚Äôs election win,0.0
UN inspectors hail progress over Syria chemical weapons,U.S. has not concluded Syria used chemical weapons -White House,2.200000047683716
regional and international non-proliferation issues should be addressed through dialogue and negotiations.,the second proposal was that regional and international non-proliferation issues should be addressed through dialogue and negotiations.,3.5999999046325684
Former LAPD officer sought in Irvine slayings,Former CIA officer sentenced to 30 months in prison for info leak,0.0
Germany Likely to Press Russia on Syrian Crisis,What is Russia thinking on Syria? A brief guide,1.0
A young woman with a bracelet is wearing a bikini top and jeans.,A women wearing a bikini top and jeans.,4.0
A woman rides an elephant in front of an adoring crowd.,A woman rides an elephant.,3.0
Investigators probe motives of LAX airport shooter,Investigators Probe Motives of Los Angeles Airport Shooter,5.0
Yellow boat on a beach.,A yellow boat on shore.,4.0
The reason for this is that Russian is a much more tonal language than English.,"Although I am quite fluent in Russian, I wouldn't say English sound particularly 'cold' to me.",1.600000023841858
A brown dog sits on the beach.,A dog running on the beach,2.0
The union had not yet revealed which chain would be targeted.,The union said it would reveal later which chain would be targeted.,4.599999904632568
last week russia announced that it will suspend participation in the cfe.,nato regrets russia's decision to suspend participation in the cfe.,2.400000095367432
The company said it would issue revised guidance for the full fiscal year next month when it releases its Q2 results.,The company said it would renew its guidance for 2003 when it announces its second quarter results in mid-July.,3.200000047683716
A white dog running through the snow,The black and white dog runs through the grass.,1.399999976158142
South Africa's Mandela taken to hospital,South Africa: Mandela remains in hospital,3.200000047683716
The man is playing the guitar.,The cat cleaned his face with his paw.,0.0
A lady with a yellow outfit is in the air above the bed in a yellow room.,A dog with a red leash still attached chases over the grass toward a tennis ball.,0.0
Large black and white cat resting on a windowsill.,A small white cat sitting in a sink.,1.7999999523162842
"""These are dark days for our industry,"" Giovanni Bisignani, director general of the Geneva-based organization, said in a statement.","""These are dark days for our industry,"" the Geneva-based International Air Transport Association's Director-General Giovanni Bisignani said.",3.5
"More than 1,000 inmates escape from Libya's al-Kweifiya prison",1000 prisoners escape from Libyan jail,4.400000095367432
Rock bands' plane makes emergency landing in Ill.,Rock Bands' Plane Makes Emergency Landing in Ill.,5.0
S. Africa's former president Mandela discharged from hospital,Mandela Discharged From Hospital,4.199999809265137
"BOSTON The Catholic archdiocese in Boston has offered $55 million to settle more than 500 clergy sex abuse lawsuits, according to a document obtained by The Associated Press.",The American Roman Catholic archdiocese of Boston has offered $55 million to settle more than 500 sex abuse lawsuits involving priests.,3.5999999046325684
I'm thinking it's a bad idea.,I think it's a bad idea.,5.0
The brown dog is resting his head on a white pillow.,A tan dog is lying on a couch and has its head on a white pillow.,3.400000095367432
A group of people sitting at a restaurant table.,A group of people sitting around a table on a porch.,2.5999999046325684
"""It was a final test before delivering the missile to the armed forces.",State radio said it was the last test before the missile was delivered to the armed forces.,4.0
A man with long hair is looking through a camera.,A man with sunglasses looking straight ahead.,2.0
Romney Wins Nevada Caucus,Romney shifts focus to Santorum ahead caucuses,1.0
officials state that decision about the treaty will depend on u.s. action on its plans to deploy missile defense systems in poland and the czech republic.,russian military officials stated the decision would depend on whether the united states proceeds with its plan to deploy missile defense components in poland and the czech republic.,4.0
"Bulger's brother is now on the agency's ''10 Most Wanted'' list, sought in connection with 21 murders.","Bulger's brother, a former FBI informant, is now on the law enforcement agency's ""10 Most Wanted"" list.",3.25
Sail boat sailing on the water.,Sail boat floating on the blue water.,4.199999809265137
"It is priced at $5,995 for an unlimited number of users tapping into the single processor, or $195 per user with a minimum of five users.","It is priced at $5,995 or $195 on a per user licensing plan with a minimum of five users.",3.25
Six people are seated at a restaurant table and looking into the camera.,A group of people sitting at a restaurant table.,3.0
"My answer to your question is ""Probably Not"".",I think that the short  answer to your question is: No.,4.0
"The shooting victim was taken to Kings County Hospital Center, where he later died, the police said.","The victim, who was not identified, was taken to Kings County Hospital where he was pronounced dead.",4.333000183105469
"Yes, twins can develop their own language, but it's not a given.","Here's what I saw with my fraternal twins: While learning to speak, all children develop some of their own dialect.",2.5999999046325684
A subway train pulling into the station.,A white train pulling into a station.,3.5999999046325684
The polar bears fought over the kill.,Polar bears are fighting each other.,3.400000095367432
A man is riding a bike.,A woman is dancing in the street.,0.2000000029802322
A race horse galloping without a rider.,A horse galloping while wearing the number 4.,2.799999952316284
Two women are on a couch.,Two women are hugging on a couch.,3.200000047683716
You should take this animal to a vet right away.,"As covered in the other answers, your only option is to see a vet in order to have surgery done.",3.5999999046325684
Treasurys long-range plan is to provide retail buyers of all Treasury securities the ability to manage their holdings online in a single account.,The Treasury said wants to give retail buyers of all Treasury securities the ability eventually to manage holdings online in a single account.,4.400000095367432
Two brown dogs running together on sand,Two brown dogs are running on the sand.,4.599999904632568
runs victim down Got any proof?,paranoid Got any proof?,1.0
"Two blasts near Iranian embassy in Beirut, 7 killed",Blast near Iran embassy in Beirut,3.200000047683716
Red double decker bus driving through the streets.,Red double decker bus driving down a street.,4.599999904632568
Japan scrambles jets against Russian military planes,"Separatists down Ukraine military plane, several dead",0.800000011920929
A puppy is trying to come out from the sink.,The puppy tried to get out of the tub.,3.0
A dog prepares to herd three sheep with horns.,A dog and sheep run together.,2.200000047683716
Then he is not omnipotent.,Then he is malevolent.,1.399999976158142
Also it is useful to keep the consistency in your story.,It is important to keep the story in the scope of your limit.,2.0
Two boys on a couch are playing video games.,Two boys are playing a video game.,4.0
A baby is crawling happily.,A baby sneezed and scared another baby.,1.2000000476837158
"Earlier, they had defied a police order and cried ""Allahu Akbar"" (God is Greatest) as Bashir walked to his seat in the tightly guarded courtroom.","Earlier, Bashir's supporters had defied a police order and cried ""Allahu Akbar (God is Greatest)"" as he walked to his seat.",4.0
Two dogs in the snow,Two dogs play in the grass.,2.400000095367432
INTEL TODAY disclosed details of its next-generation XScale processor for mobile phones and handheld devices here in San Jose.,"Intel on Wednesday unveiled its next-generation processor for cell phones, PDAs, and other wireless devices.",3.5999999046325684
"It's also a strategic win for Overture, given that Knight Ridder had the option of signing on Google's services.","It's also a strategic win for Overture, given that Knight Ridder had been using Google's advertising services.",4.0
Thai opposition party to boycott general election,Thai opposition announces election boycott,4.800000190734863
the back of a stop sign with many stickers on it.,The back of a sign with stickers on.,3.799999952316284
Meat is dropped into a pan.,A woman is putting meat in a pan.,3.25
Calls for more Egypt protests,Death toll from Egypt protests rises to 49,1.399999976158142
Roadside bombs kill 5 in Afghanistan,Roadside bomb kills 3 policemen in Afghanistan,3.400000095367432
Lord Palumbo offers hope for a relationship with his son James,Oscar Pistorius sent for mental evaluation: what will it mean?,0.2000000029802322
"The router will be available in the first quarter of 2004 and will cost around $200, the company said.","Netgear prices the WGT634U Super Wireless Media Router, which will be available in the first quarter of 2004, at under $200.",3.0
"""There were a number of bureaucratic and administrative missed signals -- there's not one person who's responsible here,"" Gehman said.","In turning down the NIMA offer, Gehman said, ''there were a number of bureaucratic and administrative missed signals here.",3.75
Lawtey is not the first faith-based program in Florida's prison system.,But Lawtey is the first entire prison to take that path.,1.25
Two men standing in grass staring at a car.,Two women sitting in chairs in a shop.,0.4000000059604645
Obama jokes about himself at reporters' dinner,Obama pokes fun at critics during press dinner,2.200000047683716
Gunmen kill nine people in northwest Pakistan,Militants kill 6 soldiers in northwest Pakistan,2.5999999046325684
A man and a woman are kissing each other.,A man and a woman are talking to each other.,0.6000000238418579
Dixon was otherwise the class of the field at Pikes Peak International Raceway.,Scott Dixon eventually made winning the Honda Indy 225 look easy Sunday at Pikes Peak International Raceway.,2.799999952316284
I've recently bought two sit/stand Galant tables from IKEA and I'm quite happy with them.,http://www.varidesk.com/ There is also the hand-made/DIY version for which you could obtain design templates for.,1.7999999523162842
A little girl with a ribbon in her hair is picking her nose.,A little girl in a purple shirt and helmet is riding on a scooter.,1.2000000476837158
Black and white cows grazing in a pen.,Two black and white cows drinking out of a pond.,1.600000023841858
Take a look at these:,Take a look at this:,5.0
A person is driving a car.,A man is driving a car.,3.5
A car is moving through a road.,A car is driving down the road.,4.0
People ride and paddle a raft.,Four people are floating on a raft.,2.25
Prosecutor Jim Hardin called the decision a victory for Kathleen Peterson's family.,Members of Kathleen Peterson's family were not present.,1.0
The dog pulled the dogs tail and then his leg.,A monkey pulled a dogs tail.,1.75
a group of navy seals are singing,A group of military personnel are playing in a brass quintet.,2.400000095367432
He also recruited others to participate in the scheme by convincing them to receive fraudulently obtained merchandise he had ordered for himself.,He also recruited other people to take delivery of fraudulently obtained merchandise he had ordered.,4.0
A man and women sitting on a sofa holding a small baby.,a woman sitting on a sofa holding a baby.,3.200000047683716
Israel vows to deny Hezbollah after air strike,Car bomb kills four in Hezbollah Beirut bastion: minister,0.6000000238418579
MIER ups 2012 growth forecast to 4.2pc,CMIE cuts 2012-13 growth forecast to 6.3%,0.800000011920929
I think it's just a habit.,I think it's a bad idea.,1.0
One man in an orange shirt wearing a white helmet is riding a bike.,The man wearing a blue helmet is riding a Polaris.,2.799999952316284
"Yeah, I don't think this is that controversial either.",I don't think what she's saying is that controversial.,3.799999952316284
How should I proceed about this?,So how should I do this?,4.0
A person is cutting garlic into pieces with a knife.,Someone is putting ingredients into a wok.,0.75
"He started in the 1983 Super Bowl, which Miami lost 27-17 to Washington.","He played four seasons in Miami, including the Dolphins' 27-17 loss to Washington in the Super Bowl.",3.0
A monkey is brushing a bull dog.,A monkey brushes a dog.,4.199999809265137
I disagree with Josh Bruce on some of his tips.,Research does indicate that sleeping after studying is a pretty good rule-of-thumb.,0.6000000238418579
"Lowe's, with about half as many stores, reported a 33 percent increase in third-quarter profit behind a 12 percent jump in same-store sales.",Home Depot reported a 22 percent jump in third-quarter profit behind a nearly 8 percent rise in same-store sales.,1.399999976158142
Indian police round up all five suspects in Mumbai rape case,Mumbai police arrest fifth suspect in gang-rape case,3.799999952316284
An owl has its wings up and widespread during the day.,The bird has its wings spread as it flies.,2.400000095367432
ingo kober stated there is larger interest in intellectual property rights now than 20 or 30 years ago.,ingo kober stated that some nations had stronger intellectual property rights than others.,2.0
Two Palestinians die in attacks on Israelis ahead of Kerry visit,Palestinian official slams Israel's stone-throwing bill,0.0
Earthquake of 6.3 magnitude strikes off Indonesia island,Earthquake of 6 magnitude strikes Thailand,2.0
"Egypt courts hear cases against Mubarak, Islamists",Egypt court temporarily releases Mubarak over illicit gains,1.7999999523162842
A woman is eating fish at a restaurant.,A woman eating a large fish in a restaurant.,4.599999904632568
US Afghanistan general linked to Petraeus scandal,Senior US general linked to Petraeus scandal,3.799999952316284
The key thing to realize here is that it's not your job to make people do their work.,It really isn't your problem how they are going to find a qualified person to do the job.,1.0
A jockey riding a horse in a pen.,A jockey rides a horse at a gallop.,3.5999999046325684
A black table with white fuzzy chair.,A woman with her child.,0.0
A black dog walking through water.,Two black dogs walking through the snow.,2.400000095367432
Orange shares jumped as much as 15 percent.,France Telecom shares dropped 3.6 percent while Orange surged 13 percent.,2.0
A black train moves down the tracks.,A long train is on train tracks.,2.799999952316284
"Two killed, 19 injured in Toronto shooting","Two dead, 7 injured in Finland shooting",1.399999976158142
The woman is rolling dough.,A woman is flouring and rolling dough.,3.765000104904175
A boy is upset playing video games.,Someone is playing a gameboy.,1.75
World‚Äôs largest building opened in west China,Italy‚Äôs centre-left splinters in presidential vote,0.0
the united states government and other nato members have refused to ratify the amended treaty until officials in moscow withdraw troops from the former soviet republics of moldova and georgia.,the united states and other nato members have refused ratify the amended treaty until russia completely withdraws from moldova and georgia.,4.599999904632568
Cricket-England v Australia fourth test scoreboard,"Cricket-England 155-4 v Australia, fourth test - tea",4.0
"We're talking about angels and common pins again, right?","@Lustig Andrei, We're talking about angels and common pins again, right?",4.800000190734863
a brown and white dog is running on the grass.,The tan and black dog is running across the grass.,3.400000095367432
Chinese general's son gets 10 years jail for rape,Chinese general’s son gets 10 years’ jail for gang-rape,4.199999809265137
"What the Papers Say, June 25, 2013","What the Papers Say, Aug. 19, 2013",2.200000047683716
James Murdoch quits BSkyB,James Murdoch quits role at BSkyB,4.199999809265137
"It exploded in his hands, but the former Italian prime minister was unhurt.",The letter bomb sent to Prodi exploded in his hands but he was unhurt.,3.5999999046325684
Obama signs up for Obamacare,Americans scramble to sign up for Obamacare by deadline,1.2000000476837158
US Senate to vote on fiscal cliff deal as deadline nears,Fiscal cliff: House delays vote on fiscal cliff deal - live,2.799999952316284
A man is looking out of a window.,A woman is swimming in the water.,0.25
A man is riding on a horse.,A man is talking on a phone.,1.0
"""Generally unwanted - and often pornographic or with fraudulent intent - spam is a nuisance and a distraction,"" Gates writes, warming us up for the punchline.","Generally unwanted—and often pornographic or with fraudulent intent —spam is a nuisance and a distraction,"" Gates writes.",4.199999809265137
Students take a ride on airwaves,5.5-magnitude quake hits off Taiwan,0.0
I guess those are greek tickets (εισιτηριον) for excavation sites or museums.,That is indeed Greek Looks like a Ticket to a museum or field.,3.400000095367432
Palestinian prisoners to end hunger strike,Progress reported in Palestinian prisoner hunger strike talks,2.799999952316284
Black and white cow standing in grassy field.,A black and white horned cow standing in a field.,3.799999952316284
A girl is wearing a purple sash and matching skirt.,A group of girls stands wearing jean skirts and superman shirts.,1.600000023841858
A boy is at school taking a test.,The boy is taking a test at school.,5.0
Originally Posted by Lone Fox You've said that multiple times now.,Originally Posted by Lone Fox And it's not all Iranian related either.,2.200000047683716
A young boy has a red fishing pole.,A young boy stands over a bridge with a fishing pole.,3.0
Red sports car racing down track.,A red sports car driving quickly on a track.,4.599999904632568
"It depends on what you want to do next, and where you want to do it.",You need to pick how and where you want to place your foot and do it.,1.0
A man is looking at a computer monitor.,A man is using a laptop.,2.75
Mexico swears in president amid violent protests,Former New Mexico Gov. Richardson pressing North Korean test ban,0.0
A man is playing guitar.,Smeone is laying down.,0.0
A black dog is running in the grass.,The black dog is running through the grass.,4.800000190734863
Or this one by Jim Croce We are all vessels filled with many wonders.,We are all vessels filled with many wonders.,3.200000047683716
A man with a hard hat is dancing.,A man wearing a hard hat is dancing.,5.0
"Yes, there is at least one to my knowledge.","To my knowledge, there's no time requirement.",1.0
A man stands in front of a train.,A man stands on a platform in front of a silver train.,3.799999952316284
Ecuador President Correa says no decision made on Assange asylum,Ecuador yet to decide on Assange's asylum,3.799999952316284
A man is climbing a rope.,A man is sitting on a rock.,0.25
The money I spent adopting Velociraptor.,Those may be my top . The money I spent adopting Velociraptor.,4.199999809265137
Vehicles ablaze in collapsed Japan tunnel,Vehicles 'left burning' as smoke emits from Japan tunnel,4.199999809265137
Mr McDonnell is leading Grant Thornton International's inquiry into the Italian business.,Mr McDonnell wants to establish if the Italian business followed Grant Thornton's audit procedures.,2.75
School officials said Van-Vliet reported the accident using the bus’ radio.,"Van-Vliet, who was also injured, called in the accident on the school bus radio.",3.75
A group of people in a living room.,A group of four people walking past a giant mushroom.,0.800000011920929
A longed-haired cat with it's eyes closed.,A close up of a cat with its eyes closed.,3.5999999046325684
Cameron 'has no concerns' over halal meat,Veterans health probe confirms cover-up of care delays,0.0
Shiites make up 20 percent of the country's population.,"Sunnis make up 77 percent of Pakistan's population, Shiites 20 percent.",3.0
At least two killed in southern Egypt clash,At least 18 killed in North Caucasus train station blast,0.4000000059604645
LURD's Ja'neh also called for an interim government and the deployment of a U.S.-led Western peacekeeping force.,The rebels are also calling for the deployment of a U.S.-led peacekeeping force.,3.0
"On Thursday, a Washington Post article argued that a 50 basis point cut from the Fed was more likely, contrary to the Wall Street Journal's line.","On Thursday, a Post article argued that a 50 basis point cut from the Fed was more likely.",3.75
"It depends on what you want to do next, and where you want to do it.","In other words, it depends on where you go, when you do there and how.",4.0
cambodia and vietnam finalized an agreement to stop asian and european drug traffickers.,syrian and russian officials signed an agreement of cooperation in combating drug trafficking.,2.0
US authorities charge man in ricin probe,South African police arrest 50 in farm protest,0.0
A little girl with her hands in the air is sitting on a man's back while he is laying on a blanket.,A kid runs in the opposite direction of others who were playing a game.,0.2000000029802322
Headlines in major Iranian newspapers on Oct 4,Headlines in several Iranian newspapers on Oct 19,2.0
A woman is picking a can.,A man is playing a guitar.,0.1330000013113021
A small white cat with glowing eyes standing underneath a chair.,A white cat stands on the floor.,2.5999999046325684
"Sony Ericsson also said it would shut down its GSM/UMTS R&D center in Munich, Germany, to increase profitability.","Sony Ericsson also said it plans to close its R&D site in Munich, Germany, for GSM and UMTS handsets.",3.799999952316284
president putin stated that russia would take countermeasures.,putin warned that russia would take retaliatory actions.,4.400000095367432
The reading for both August and July is the best seen since the survey began in August 1997.,It is the highest reading since the index was created in August 1997.,3.0
A dog is eating water melon.,A dog is eating a piece of watermelon.,4.25
Gunmen Kill 11 Foreign Tourists in Pakistan,Gunmen kill 11 foreign climbers in Pakistan,4.0
Death toll rises in Russia plane crash,Death toll rises to 39 in Italy coach crash,0.0
"Bomb blast rocks shopping mall in Nigeria, 12 killed",Bomb blasts before Indian opposition rally kill 4,1.399999976158142
