anchor,positive,negative
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","The cult leader , 33-year-old David Koresh , had 'lied ' as his last act , telling the FBI before the inferno that group 's children were safe in underground bunkers .",Duke Sees a Trend
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","The cult leader , 33-year-old David Koresh , had 'lied ' as his last act , telling the FBI before the inferno that group 's children were safe in underground bunkers .","So could be rookie outfielder Greg Vaughn -LRB- <num> HR , <num> RBIs in <num> games at Class AAA Denver -RRB- ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","The cult leader , 33-year-old David Koresh , had 'lied ' as his last act , telling the FBI before the inferno that group 's children were safe in underground bunkers .","The producers of the popular series Star Trek , to take one example , appear quite responsible ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","The compound housing an estimated <num> followers of religious zealot Mr David Koresh was destroyed after three fires were started by members of the cult , possibly with kerosene , according to the FBI .","The other is Everett Scott , who , at <num> pounds , rolls out of Bluffton , Ind. , to play shortstop for the Red Sox and Yankees and logs <num> consecutive games ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","The compound housing an estimated <num> followers of religious zealot Mr David Koresh was destroyed after three fires were started by members of the cult , possibly with kerosene , according to the FBI .",The Berlin market reflects some of the uncertainties .
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","The compound housing an estimated <num> followers of religious zealot Mr David Koresh was destroyed after three fires were started by members of the cult , possibly with kerosene , according to the FBI .","As asserted by some authoritative observers , China will continue to be in a process of rapid growth ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","The compound housing an estimated <num> followers of religious zealot Mr David Koresh was destroyed after three fires were started by members of the cult , possibly with kerosene , according to the FBI .","Duke , <num> , won no more than <num> delegates at the caucuses and party officials said previously that he had little support among party regulars ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","The compound housing an estimated <num> followers of religious zealot Mr David Koresh was destroyed after three fires were started by members of the cult , possibly with kerosene , according to the FBI .",Last week economists forecast that an annualised expansion rate of more than <num> per cent could be recorded for M3 this month because of the liquidity created by unprecedented D -Mark central bank sales throughout Europe in recent weeks .
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","A fire , which the White House said was deliberately started by followers of religious zealot Mr David Koresh , destroyed the compound where the cult members had been holed up .","Commenting on MOTIE 's plan , the <num> February TONGA ILBO reports the government will enact measures to reduce the concentration of South Korean investment in Manchuria and redirect investment toward Shanghai and further south ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","A fire , which the White House said was deliberately started by followers of religious zealot Mr David Koresh , destroyed the compound where the cult members had been holed up .","-LRB- Hong Kong AFP <num> GMT <num> Mar <num> -RRB- Shandong Reports Use of Foreign Government Loans - By the end of <num> , Shandong had signed more than <num> contracts on the use of foreign government loans ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","A fire , which the White House said was deliberately started by followers of religious zealot Mr David Koresh , destroyed the compound where the cult members had been holed up .","Mr Jacques Calvet , the chairman of Peugeot , has condemned the deal as an example of how Europe has 'unilaterally disarmed without anything in exchange ' ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","A fire , which the White House said was deliberately started by followers of religious zealot Mr David Koresh , destroyed the compound where the cult members had been holed up .","Thailand and Taiwan have trade ties , and Taiwanese businessmen are the third largest investors here , second to Japan and the United States ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","A fire , which the White House said was deliberately started by followers of religious zealot Mr David Koresh , destroyed the compound where the cult members had been holed up .",There are two aspects of the Margaret Thatcher phenomenon -- neither of which is addressed in this splendid British biography -- that every thinking American needs to keep in mind when assessing the achievements of this remarkable woman .
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","There was no immediate indication of what happened to Mr Koresh , the religious leader who believes he is the incarnation of Jesus Christ .","At least it does according to Life magazine , which in <num> listed the invention of air conditioning among the <num> events that most shaped America ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","There was no immediate indication of what happened to Mr Koresh , the religious leader who believes he is the incarnation of Jesus Christ .",It was not until the submarine 's trim equalized that Captain 3d Rank Yudin and Warrant Officer Chernikov were able to drag Warrant Officer Slyusarenko into the chamber .
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","There was no immediate indication of what happened to Mr Koresh , the religious leader who believes he is the incarnation of Jesus Christ .","`` Currently , North Korea has three different kinds of missiles , which are capable of carrying nuclear warheads ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","There was no immediate indication of what happened to Mr Koresh , the religious leader who believes he is the incarnation of Jesus Christ .","By passing electrical current through a stator pack , the stationary part of an electric motor which is laid out on the underside of a concrete runway , a wandering magnetic field is created ."
"Who was the leader of the Branch Davidian Cult confronted by the FBI in Waco , Texas in <num> ?","There was no immediate indication of what happened to Mr Koresh , the religious leader who believes he is the incarnation of Jesus Christ .","Manson and his co-defendants were all sentenced to death , but were spared when the state Supreme Court overturned capital punishment , which has since been reinstated ."
Who was the first American in space ?,"There is an `` umbilical '' plug from the Freedom <num> spacecraft that carried Alan Shepard on a 15-minute suborbital flight in <num> , making him the first American in space .",Fire detection equipment was foreseen aboard the submarine `` Komsomolets '' .
Who was the first American in space ?,"There is an `` umbilical '' plug from the Freedom <num> spacecraft that carried Alan Shepard on a 15-minute suborbital flight in <num> , making him the first American in space .",`` Baseball has never been so well played .
Who was the first American in space ?,"There is an `` umbilical '' plug from the Freedom <num> spacecraft that carried Alan Shepard on a 15-minute suborbital flight in <num> , making him the first American in space .",-LSB- Figueres -RSB- We are trying to set up a new axis around which to create a new relationship between the United States and the Central American countries .
Who was the first American in space ?,"There is an `` umbilical '' plug from the Freedom <num> spacecraft that carried Alan Shepard on a 15-minute suborbital flight in <num> , making him the first American in space .",A portrait of Nixon draped with black gauze was hung on the wall in the hall .
Who was the first American in space ?,"There is an `` umbilical '' plug from the Freedom <num> spacecraft that carried Alan Shepard on a 15-minute suborbital flight in <num> , making him the first American in space .","Wreaths `` expressing deep condolences '' from President Jiang Zemin , Premier Li Peng and vice premier in charge of the economy Zhu Rongji , surrounded the Nixon portrait ."
When did the Jurassic Period end ?,"They flourished after the large dinosaurs that preceded them were exterminated <num> million years ago by an unknown environmental catastrophe , said Robert Bakker of the University of Colorado at Boulder .","Qian and Luo slowly walked into the embassy and shook hands with U.S. Ambassador to China J. Stapleton Roy , expressing their deep condolences on Nixon 's death ."
When did the Jurassic Period end ?,"They flourished after the large dinosaurs that preceded them were exterminated <num> million years ago by an unknown environmental catastrophe , said Robert Bakker of the University of Colorado at Boulder .","However , the capacity of Novorossiysk Port allows handling of only one voyage a week , and the parties agreed on this ."
When did the Jurassic Period end ?,"They flourished after the large dinosaurs that preceded them were exterminated <num> million years ago by an unknown environmental catastrophe , said Robert Bakker of the University of Colorado at Boulder .",Rural enterprises have become the financial pillar of these counties .
When did the Jurassic Period end ?,"They flourished after the large dinosaurs that preceded them were exterminated <num> million years ago by an unknown environmental catastrophe , said Robert Bakker of the University of Colorado at Boulder .","This information was provided by Prime Minister Vaclav Klaus after a government meeting yesterday , <num> February ."
When did the Jurassic Period end ?,"They flourished after the large dinosaurs that preceded them were exterminated <num> million years ago by an unknown environmental catastrophe , said Robert Bakker of the University of Colorado at Boulder .","The blaze spread swiftly , punctuated by explosions - possibly from the cult 's ammunition stores ."
When did the Jurassic Period end ?,"During the late Jurassic Period , which extended up to <num> million years ago , the largest dinosaurs were well-known varieties such as the long-necked brontosaurus , the spike-backed stegosaurus and the fierce , carnivorous allosaurus .","Pat Broeker , Hubbard 's personal messenger at the time , had gone into hiding with him once before and knew how to ensure his security ."
When did the Jurassic Period end ?,"During the late Jurassic Period , which extended up to <num> million years ago , the largest dinosaurs were well-known varieties such as the long-necked brontosaurus , the spike-backed stegosaurus and the fierce , carnivorous allosaurus .",Sills and the two political consultants identified by Ybarra -- Jean Andrews and Jack Orr -- denied Ybarra 's charges .
When did the Jurassic Period end ?,"During the late Jurassic Period , which extended up to <num> million years ago , the largest dinosaurs were well-known varieties such as the long-necked brontosaurus , the spike-backed stegosaurus and the fierce , carnivorous allosaurus .","NBC probably will name at least one fairly soon , since it will televise Magic Johnson 's `` Midsummer Night 's Magic `` all-star game at the Forum on Aug. <num> ."
When did the Jurassic Period end ?,"During the late Jurassic Period , which extended up to <num> million years ago , the largest dinosaurs were well-known varieties such as the long-necked brontosaurus , the spike-backed stegosaurus and the fierce , carnivorous allosaurus .","The submarine 's trim did not change until <num> , and there were no signs of water entering the pressure hull. ''"
When did the Jurassic Period end ?,"During the late Jurassic Period , which extended up to <num> million years ago , the largest dinosaurs were well-known varieties such as the long-necked brontosaurus , the spike-backed stegosaurus and the fierce , carnivorous allosaurus .","Under the nuclear accord , the US has promised to establish diplomatic ties with North Korea and guarantee international aid if Pyongyang abandons its nuclear programme ."
When did Spain and Korea start ambassadorial relations ?,He was the first Spanish foreign minister ever to visit Seoul since the two countries entered ambassadorial relations in <num> .,It is certain that the economic development and the establishment of a new structure in Shanghai will become a microcosm of the development trend of reform and opening up in China .
When did Spain and Korea start ambassadorial relations ?,He was the first Spanish foreign minister ever to visit Seoul since the two countries entered ambassadorial relations in <num> .,"Given all of the conditions , this would have kept the submarine afloat until the arrival of the tender `` Aleksey Khlobystov '' ."
When did Spain and Korea start ambassadorial relations ?,He was the first Spanish foreign minister ever to visit Seoul since the two countries entered ambassadorial relations in <num> .,It seemed as if a blizzard was raging at the bottom of the Norwegian Sea .
When did Spain and Korea start ambassadorial relations ?,He was the first Spanish foreign minister ever to visit Seoul since the two countries entered ambassadorial relations in <num> .,"The roles of the sons prove most tentative here ; it 's as if the actors , like the sons themselves , have not quite settled on the best way to relate to this troublesome and troubling father ."
When did Spain and Korea start ambassadorial relations ?,He was the first Spanish foreign minister ever to visit Seoul since the two countries entered ambassadorial relations in <num> .,"However , in fact , at the meeting , in-depth discussions were held on such topics as progress in North Korea 's nuclear development , and its strike capability ."
When did Nixon visit China ?,"China said Wednesday -LSB- <num> April -RSB- it hoped former US President Richard Nixon , whose historic <num> visit here paved the way for the restoration of Sino - US ties , would recover soon from a severe stroke .","Copolymer-1 -LRB- Cop-1 -RRB- , a synthetic chemical resembling myelin protein , developed by Teva in Israel ."
When did Nixon visit China ?,"China said Wednesday -LSB- <num> April -RSB- it hoped former US President Richard Nixon , whose historic <num> visit here paved the way for the restoration of Sino - US ties , would recover soon from a severe stroke .",The one thing that the leadership of the `` Komsomolets '' did manage to do was to report to the Northern Fleet 's command post back at <num> that the personnel were ready for evacuation .
When did Nixon visit China ?,"China said Wednesday -LSB- <num> April -RSB- it hoped former US President Richard Nixon , whose historic <num> visit here paved the way for the restoration of Sino - US ties , would recover soon from a severe stroke .",of Black Journalists .
When did Nixon visit China ?,"China said Wednesday -LSB- <num> April -RSB- it hoped former US President Richard Nixon , whose historic <num> visit here paved the way for the restoration of Sino - US ties , would recover soon from a severe stroke .",Various sorbents for measuring the presence of all possible radionuclides in the aura of the submarine are carried in a special compartment in the belly of the bathyscaphe .
When did Nixon visit China ?,"China said Wednesday -LSB- <num> April -RSB- it hoped former US President Richard Nixon , whose historic <num> visit here paved the way for the restoration of Sino - US ties , would recover soon from a severe stroke .",Powell and Defense Secretary Dick Cheney both sought to counter earlier damaging testimony from former defense officials and others who said that sanctions against Iraq could work and that going to war would be a costly mistake .
When did Nixon visit China ?,"Nixon 's <num> visit , during which he met with late chairman Mao Zedong , opened the door to the establishment of full Sino - US diplomatic relations seven years later .",The return of Mr Hall was the result of a diplomatic compromise .
When did Nixon visit China ?,"Nixon 's <num> visit , during which he met with late chairman Mao Zedong , opened the door to the establishment of full Sino - US diplomatic relations seven years later .","In a television broadcast to the nation , Mr Bush condemned the two days of violence that followed the acquittal of four Los Angeles policemen accused of beating Mr Rodney King , a black motorist ."
When did Nixon visit China ?,"Nixon 's <num> visit , during which he met with late chairman Mao Zedong , opened the door to the establishment of full Sino - US diplomatic relations seven years later .",This shows that there is a possibility of Chinese financial authorities lifting restrictions on foreign-funded financial organizations dealing with renminbi business in a limited way .
When did Nixon visit China ?,"Nixon 's <num> visit , during which he met with late chairman Mao Zedong , opened the door to the establishment of full Sino - US diplomatic relations seven years later .","In a letter to President Kim Young-sam , Mr Clinton also said that the US would defend South Korea if it is attacked by the North ."
When did Nixon visit China ?,"Nixon 's <num> visit , during which he met with late chairman Mao Zedong , opened the door to the establishment of full Sino - US diplomatic relations seven years later .","Hamburg High-Speed Maglev Railway Limited Liability Company -RSB- , under the rubric `` Vistas '94 '' : `` ` Transrapid ' Has Now Made the Breakthrough to Worldwide Marketing ."
When did Nixon visit China ?,Nixon is best remembered in China for his historic <num> visit here which ended decades of mutual hostility and paved the way for the establishment of diplomatic relations seven years later .,"-LRB- Prague HOSPODARSKE NOVINY in Czech <num> Feb <num> p <num> AU -RRB- WATER PRICES UP IN PRAGUE : As of <num> February , new prices for water apply in Prague ."
When did Nixon visit China ?,Nixon is best remembered in China for his historic <num> visit here which ended decades of mutual hostility and paved the way for the establishment of diplomatic relations seven years later .,It was also communicated that an airplane was en route to the submarine with an estimated time of arrival of <num> .
When did Nixon visit China ?,Nixon is best remembered in China for his historic <num> visit here which ended decades of mutual hostility and paved the way for the establishment of diplomatic relations seven years later .,The government hopes that by <num> a runway - similar to the present test track - will be built and that more than 14m passengers a year will be hurtling between Germany 's two biggest cities .
When did Nixon visit China ?,Nixon is best remembered in China for his historic <num> visit here which ended decades of mutual hostility and paved the way for the establishment of diplomatic relations seven years later .,"Last year , as part of the expansion plan , Mitsubishi increased Apricot 's paid-up capital from Pounds 3.2m to Pounds 12.6m ."
When did Nixon visit China ?,Nixon is best remembered in China for his historic <num> visit here which ended decades of mutual hostility and paved the way for the establishment of diplomatic relations seven years later .,"As far back as <num> , Hubbard warned that illness and even death can befall those seeking to impede Scientology , known within the church as `` suppressive persons . ''"
When did Nixon visit China ?,Mr. Nixon was the first U.S. President after World War II to visit China <num> years ago .,India had recently extended a credit of $ <num> million for setting up projects with Indian know-how and entrepreneurial participation in Uzbekistan .
When did Nixon visit China ?,Mr. Nixon was the first U.S. President after World War II to visit China <num> years ago .,"For example , the Japan Railways -LRB- JR -RRB- group plans to extend its bullet train lines ."
When did Nixon visit China ?,Mr. Nixon was the first U.S. President after World War II to visit China <num> years ago .,Gehrig never played in another game .
When did Nixon visit China ?,Mr. Nixon was the first U.S. President after World War II to visit China <num> years ago .,-LSB- Rosenbaum -RSB- In view of the new threats from the East -- keyword Zhirinovskiy -- might the voters not finally prefer to leave the present Federal Government in office ?
When did Nixon visit China ?,Mr. Nixon was the first U.S. President after World War II to visit China <num> years ago .,"In the <num> full seasons he played , Gehrig averaged <num> RBIs a season ."
When did Nixon visit China ?,His historic visit to China in <num> must be the most eye-catching event .,"Samsung reportedly has consulted with Japan 's SR International , the United States ' Global Success , and other foreign firms on curricula ."
When did Nixon visit China ?,His historic visit to China in <num> must be the most eye-catching event .,"Seoul also resumed preparations for the Team Spirit military exercise , although a decision on its timing has been delayed until President Kim Young-sam discusses the situation on the Korean peninsula with Chinese and Japanese leaders later this week ."
When did Nixon visit China ?,His historic visit to China in <num> must be the most eye-catching event .,Shaman is the traditional name for 'medicine man ' .
When did Nixon visit China ?,His historic visit to China in <num> must be the most eye-catching event .,Luo 's inscription expressed his deep condolences and sent his best regards to Nixon 's family and relatives .
When did Nixon visit China ?,His historic visit to China in <num> must be the most eye-catching event .,"However , the oil separation system was disconnected early in the morning on <num> April , and it was not working before the accident ."
When did Nixon visit China ?,Nixon 's visit to China <num> years ago opened up a new chapter in Sino-U.S. relations .,-LSB- Figueres -RSB- That must be decided by all the presidents and countries .
When did Nixon visit China ?,Nixon 's visit to China <num> years ago opened up a new chapter in Sino-U.S. relations .,A Decision Has Been Made -- A Special Sarcophagus Will Cover the Nuclear Submarine `Komsomolets '
When did Nixon visit China ?,Nixon 's visit to China <num> years ago opened up a new chapter in Sino-U.S. relations .,"Zhu WanIi , governor of the Guangdong branch of the People 's Bank of China , said that Guangdong should make better use of the fund management experience and skills of Hong Kong and Macao ."
When did Nixon visit China ?,Nixon 's visit to China <num> years ago opened up a new chapter in Sino-U.S. relations .,"`` I decided last Sunday night on this move , '' Gehrig said in announcing his decision to the press ."
When did Nixon visit China ?,Nixon 's visit to China <num> years ago opened up a new chapter in Sino-U.S. relations .,"The submarine was jarred , but not strongly enough to rupture the pressure hull. ''"
When did Nixon visit China ?,"Yu recalled that there were no ties between China and the United States in <num> , when former U.S. President Nixon and former U.S. Secretary of State Kissinger paid their visit to China .","For those who knew the history and his secret ambition , the startling visit to the Chinese Communists and seeming betrayal of his old Nationalist patrons came as no real surprise ."
When did Nixon visit China ?,"Yu recalled that there were no ties between China and the United States in <num> , when former U.S. President Nixon and former U.S. Secretary of State Kissinger paid their visit to China .",Forty four of China 's <num> joint ventures with the highest sales volumes are located in Shanghai .
When did Nixon visit China ?,"Yu recalled that there were no ties between China and the United States in <num> , when former U.S. President Nixon and former U.S. Secretary of State Kissinger paid their visit to China .","Richard Nixon -LRB- 37th President -RRB- : Born Jan. <num> , <num> , in a small frame house in Yorba Linda , Calif ."
When did Nixon visit China ?,"Yu recalled that there were no ties between China and the United States in <num> , when former U.S. President Nixon and former U.S. Secretary of State Kissinger paid their visit to China .",Sometimes Broeker himself appeared from parts unknown to personally deliver Hubbard 's instructions to church executives .
When did Nixon visit China ?,"Yu recalled that there were no ties between China and the United States in <num> , when former U.S. President Nixon and former U.S. Secretary of State Kissinger paid their visit to China .",National restrictions on outside road hauliers mean that up to a fifth of Community lorries are driving around empty at any given time .
When did Nixon visit China ?,More than <num> years have elapsed since Nixon 's world-shaking visit to China .,The `` alarming '' situation is demonstrated by a 30-percent drop in the volume of building work and by the loss of another <num> jobs in <num> .
When did Nixon visit China ?,More than <num> years have elapsed since Nixon 's world-shaking visit to China .,Ripken passed Everett Scott for the No. <num> spot in longevity behind Lou Gehrig .
When did Nixon visit China ?,More than <num> years have elapsed since Nixon 's world-shaking visit to China .,"'The large projects may attract attention from the media and contractors , but in the end they are likely to be far less important to average Japanese . '"
When did Nixon visit China ?,More than <num> years have elapsed since Nixon 's world-shaking visit to China .,"During the same period , <num> million Slovaks traveled abroad ."
When did Nixon visit China ?,More than <num> years have elapsed since Nixon 's world-shaking visit to China .,Spokesman for Klan
When did Nixon visit China ?,Only after Nixon visited China in <num> did Japan normalize diplomatic relations with China .,Agricultural output and the number of related workers will drop considerably .
When did Nixon visit China ?,Only after Nixon visited China in <num> did Japan normalize diplomatic relations with China .,"The submarine sank with <num> percent of its reserve of high-pressure air unused , with the diesel generator operating , with an operating electric power system , with working damage control equipment , and with functioning electric lighting ."
When did Nixon visit China ?,Only after Nixon visited China in <num> did Japan normalize diplomatic relations with China .,"Kazakhstan is the world 's only country where the activities of the Russian community , Cossack and Slavic associations are banned juridically . ''"
When did Nixon visit China ?,Only after Nixon visited China in <num> did Japan normalize diplomatic relations with China .,"Foreign businessmen increased investment in energy and transportation projects , and the tertiary industry ."
When did Nixon visit China ?,Only after Nixon visited China in <num> did Japan normalize diplomatic relations with China .,"They are concentrated in central Albania in the region of Elbasan , where there are <num> of them , and in Lushnje , where <num> associations are now operating ."
When did Nixon visit China ?,Chinese President Jiang Zemin and Premier Li Peng praised Mr Nixon for his <num> breakthrough visit to Beijing that began rapprochement between China and the US and for his efforts to improve relations even after he resigned .,"`` What we are seeing is a process that will take years and decades , not months , to unfold , '' Powell said ."
When did Nixon visit China ?,Chinese President Jiang Zemin and Premier Li Peng praised Mr Nixon for his <num> breakthrough visit to Beijing that began rapprochement between China and the US and for his efforts to improve relations even after he resigned .,"The heating efficiency is rated by co-efficient of performance -LRB- COP -RRB- and the cooling efficiency by SEER , like central air conditioners ."
When did Nixon visit China ?,Chinese President Jiang Zemin and Premier Li Peng praised Mr Nixon for his <num> breakthrough visit to Beijing that began rapprochement between China and the US and for his efforts to improve relations even after he resigned .,blood alcohol level standard .
When did Nixon visit China ?,Chinese President Jiang Zemin and Premier Li Peng praised Mr Nixon for his <num> breakthrough visit to Beijing that began rapprochement between China and the US and for his efforts to improve relations even after he resigned .,The Times and staff writers Joel Sappell and Robert Welkos have done a commendable public service with the series on Hubbard and the Church of Scientology .
When did Nixon visit China ?,Chinese President Jiang Zemin and Premier Li Peng praised Mr Nixon for his <num> breakthrough visit to Beijing that began rapprochement between China and the US and for his efforts to improve relations even after he resigned .,"In <num> , Hubbard 's estranged son filed a probate petition trying to wrest control of the Scientology empire ."
When did Nixon visit China ?,"After Nixon 's visit to China in the early 1970s , <num> U.S. cities established ties with municipalities there .","There has never been a president in China , in the ROC , who has handed over power to another a person while he was still alive ."
When did Nixon visit China ?,"After Nixon 's visit to China in the early 1970s , <num> U.S. cities established ties with municipalities there .",-LRB- Bucharest ROMPRES in English <num> GMT <num> Feb <num> AU -RRB- PRIVATIZATION PROSPECTS IN <num> : The State Property Fund -LRB- FPS -RRB- privatized <num> companies in the first month of this year .
When did Nixon visit China ?,"After Nixon 's visit to China in the early 1970s , <num> U.S. cities established ties with municipalities there .","Under the U.N. Charter , the committee was supposed to direct any military forces established by the Security Council ."
When did Nixon visit China ?,"After Nixon 's visit to China in the early 1970s , <num> U.S. cities established ties with municipalities there .","In an air conditioner , the cool gaseous Freon passes through coils in the evaporator inside the house where it absorbs heat from the warm interior air ."
When did Nixon visit China ?,"After Nixon 's visit to China in the early 1970s , <num> U.S. cities established ties with municipalities there .","However , industry analysts said Aldous may find himself in a bidding war for prime local companies with Hertz and Avis , the largest firm in Europe with $ <num> billion in revenue ."
When did Nixon visit China ?,"<num> : After Chinese and U.S. diplomatic feelers , President Richard Nixon visits Beijing in <num> , launching Sino-U.S. reconciliation after years of hostility .","At best the film is vividly personal , like animated pages torn from a diary ."
When did Nixon visit China ?,"<num> : After Chinese and U.S. diplomatic feelers , President Richard Nixon visits Beijing in <num> , launching Sino-U.S. reconciliation after years of hostility .",Washington state 's software industry is now a thriving Dollars 3bn -a-year business and the computer software industry is the fastest growing segment of the state 's economy .
When did Nixon visit China ?,"<num> : After Chinese and U.S. diplomatic feelers , President Richard Nixon visits Beijing in <num> , launching Sino-U.S. reconciliation after years of hostility .","She has been active in local Huntingdon charities , and in <num> she published a biography of opera singer Joan Sutherland ."
When did Nixon visit China ?,"<num> : After Chinese and U.S. diplomatic feelers , President Richard Nixon visits Beijing in <num> , launching Sino-U.S. reconciliation after years of hostility .",He also said that Guangdong should try to attract more foreign banks and China -funded banks in Hong Kong and Macao to set up branches in the province .
When did Nixon visit China ?,"<num> : After Chinese and U.S. diplomatic feelers , President Richard Nixon visits Beijing in <num> , launching Sino-U.S. reconciliation after years of hostility .","Minnesotans offered other encouraging words on the placards they held along the motorcade route : `` Go Glasnost , '' `` President Gorbachev , Keep Hope Alive '' and `` We 're With You , Gorby . ''"
When did Nixon visit China ?,"Starting with President Richard M. Nixon 's visit to China in February , <num> , there have been seven Sino - American summits .",These new heat pumps may also be a cost-effective option for homes with natural gas furnaces and central air conditioners .
When did Nixon visit China ?,"Starting with President Richard M. Nixon 's visit to China in February , <num> , there have been seven Sino - American summits .","Richard Royds , managing director of Mercury fund managers , says the drawbacks of radio are offset by the advantages ."
When did Nixon visit China ?,"Starting with President Richard M. Nixon 's visit to China in February , <num> , there have been seven Sino - American summits .","During the accident these circuit breakers provided for automatic disconnection of damaged networks , distribution panels and damaged electrical equipment , and ensured trouble-free operation of the electric power system until the submarine 's demise ."
When did Nixon visit China ?,"Starting with President Richard M. Nixon 's visit to China in February , <num> , there have been seven Sino - American summits .","A senior North Korean official admitted that his country possesses plutonium for research purposes at a radiochemical laboratory in the Yongbyon nuclear complex , ITAR-TASS News Agency reported from Pyongyang on Monday ."
When did Nixon visit China ?,"Starting with President Richard M. Nixon 's visit to China in February , <num> , there have been seven Sino - American summits .",The development of the maglev railway is entering the stage where efforts will center on improving reliability and reducing costs in the move towards practical use .
When did Nixon visit China ?,"This began in earnest with Richard M. Nixon 's visit to , and subsequent recognition of , Communist China in <num> .","If the fire aboard the submarine `` Komsomolets '' had not been extinguished by means of this system , this system is not at fault : fire extinguisher was not delivered to the distressed compartment ."
When did Nixon visit China ?,"This began in earnest with Richard M. Nixon 's visit to , and subsequent recognition of , Communist China in <num> .",Dole said that Nixon will be remembered as a great statesman of the second half of the 20th century .
When did Nixon visit China ?,"This began in earnest with Richard M. Nixon 's visit to , and subsequent recognition of , Communist China in <num> .",The Rescue Chamber : Much was written in the press about why submarine commander Captain 1st Rank Ye .
When did Nixon visit China ?,"This began in earnest with Richard M. Nixon 's visit to , and subsequent recognition of , Communist China in <num> .","In their pursuit of economic growth , the local governments have been competing to attract foreign investment ."
When did Nixon visit China ?,"This began in earnest with Richard M. Nixon 's visit to , and subsequent recognition of , Communist China in <num> .","MS is a chronic disease that causes weakness , tremors and paralysis ."
When did Nixon visit China ?,"<num> -- Nixon reelected in a landslide , defeating McGovern ; becomes first U.S. President to visit China while in office .","Business organizations without legal personality numbered <num> , <num> percent more than in late December ."
When did Nixon visit China ?,"<num> -- Nixon reelected in a landslide , defeating McGovern ; becomes first U.S. President to visit China while in office .",U.S. President Bill Clinton said here today that he was `` deeply grateful '' to late former U.S. President Richard Nixon `` for his wise counsel on many occasions '' over the past year .
When did Nixon visit China ?,"<num> -- Nixon reelected in a landslide , defeating McGovern ; becomes first U.S. President to visit China while in office .",<num> people lost their jobs in January and <num> people were taken off the list of registered unemployed .
When did Nixon visit China ?,"<num> -- Nixon reelected in a landslide , defeating McGovern ; becomes first U.S. President to visit China while in office .",He said the Administration initially underestimated Iraq 's ability to substantially expand its food production and mobilize its military resources in the face of an embargo .
When did Nixon visit China ?,"<num> -- Nixon reelected in a landslide , defeating McGovern ; becomes first U.S. President to visit China while in office .","The nonprofit foundation has forged links with scientists across the country to gain legitimacy for itself and , thus , for Hubbard 's detox method ."
When did Nixon visit China ?,"A member of the Nixon party who attended the meeting between Deng and the American leader who opened the door to China in <num> characterized their conversation as a `` a very tough , no-holds-barred exchange . ''",New Zealanders had told the United States they wanted to work along their own route .
When did Nixon visit China ?,"A member of the Nixon party who attended the meeting between Deng and the American leader who opened the door to China in <num> characterized their conversation as a `` a very tough , no-holds-barred exchange . ''",Japanese executives say that Korean companies now understand the importance of 'harmony ' in the industry - the implication is that the deep discounting of the past is over .
When did Nixon visit China ?,"A member of the Nixon party who attended the meeting between Deng and the American leader who opened the door to China in <num> characterized their conversation as a `` a very tough , no-holds-barred exchange . ''","To their delight , law enforcement officers say the new law -- which lowers the legal limit from .10 % to .08 % -- is allowing them to snare a new kind of drunk driver ."
When did Nixon visit China ?,"A member of the Nixon party who attended the meeting between Deng and the American leader who opened the door to China in <num> characterized their conversation as a `` a very tough , no-holds-barred exchange . ''","In the Changjiang River region , Shanghai alone had approved <num> direct Taiwan investment projects between January and September with a negotiated cost of $ <num> million dollars ."
When did Nixon visit China ?,"A member of the Nixon party who attended the meeting between Deng and the American leader who opened the door to China in <num> characterized their conversation as a `` a very tough , no-holds-barred exchange . ''","Scientologists also are attempting to install a Hubbard tutorial program in public schools , using a church -affiliated organization called Applied Scholastics ."
When did Nixon visit China ?,"In February , <num> , he first went to China in the shadow of sagging popularity polls and uncertainty at home .","While Japanese companies insist that supply has been limited by a <num> per cent cut in capacity administered by the transport ministry , modernisation of facilities has allowed the yards to build more ships per dock ."
